name,latitude,longitude
Bierkeller Tübingen,48.526160,9.061280
Epplehaus,48.516638,9.058842
Schlachthaus,48.526122,9.064106
Schwarzes Schaf,48.521314,9.05735
Clubhaus,48.524378,9.060555
CLUB 27 TÜBINGEN,48.52147,9.08288
Kulturschock Zelle e.V.,48.485595,9.222472
Kuckuck WHO,48.541379,9.059727
Geissweg,48.529562,9.046918
Club Voltaire,48.520562,9.050905
Jazzclub Tübingen,48.520562,9.050905
Sudhaus Tübingen,48.499628,9.063168
Kulturzentrum franz.K Reutlingen,48.495475,9.206449
TOP10 Tübingen,48.513823,9.071786
LTT - Landestheater Württemberg-Hohenzollern Tübingen Reutlingen,48.515184,9.063384
Frau Hopf im Schloßcafé,48.51987,9.052652
Kino Arsenal & Kino Atelier,48.522898,9.054252
Café Haag,48.521057,9.047971
QFILM Tübingen,48.522898,9.054252
Schelling,48.513955,9.053803
Lu15,48.513876,9.065748
Blauer Salon,48.519948,9.055308
LUDWIGs Tübingen,48.518213,9.057703
Pausenhof,48.513308,9.065657
Bricks Tübingen,48.515319,9.05083
Friedrichs Bar & Clublounge,48.516937,9.061812
Deutsch-Amerikanisches Institut Tübingen DAI,48.51824,9.058246
Gasthausbrauerei Neckarmüller,48.5193608,9.0585869
Jazzclub in der MITTE Reutlingen,48.4922381,9.2144615
Ribingurūmu,48.521143,9.0577463
Last Resort,48.521143,9.0577463
Lehmann Club,48.7796179,9.1673455
Kowalski,48.7848033,9.1786246
Discothek WOM,48.3712096,8.9609695
Wagenhallen,48.7991183,9.1858991
Sonnenkeller. Live Club. Balingen,48.2709967,8.8498761
TOP10 Balingen,48.2586279,8.8542185
KULTURINSEL Stuttgart (Original),48.7974711,9.2264063
LKA Longhorn,48.7675385,9.251578
Jugendhaus INSEL,48.2697902,8.8491816
Doppeldecker,48.2679181,8.8511864
Stadthalle Balingen,48.2720768,8.8570032
WARANGA Bar & Clublounge,48.778811,9.1771159
PURE Stuttgart,48.7821935,9.1775027
Mehrgenerationenhaus Linde,48.6475272,9.4540965
Kultur Openair,48.6112,9.542050000000017
club bastion e.V.,48.6488101,9.4535406
Wunderbar Kirchheim,48.6486728,9.4523224
Tropi Albstadt,48.2030389,9.0475952
Filmriss,48.6491445,9.4481496
Rote Sonne,48.1423719,11.5704663
Zimmertheater Tübingen,48.5195585,9.0564853
KUNSTHALLE TÜBINGEN,48.5419376,9.0478161
Werkstadthaus,48.510331,9.0784735
Eberhard Karls Universität Tübingen,48.5244121,9.0597217
Unikino Tübingen,48.5259421,9.0583541
Willi Tübingen,48.522171,9.0578909
Haus der Jugend,48.4903328,9.2133903
Stadtpalais Stuttgart,48.7760815,9.184154
Rakete,48.7638025,9.1706208
White Noise,48.7732704,9.1785843
Theater Rampe,48.7638025,9.1706208
Icecafeadria,48.7742239,9.179606
Korridor,48.772065,9.180227
Café Klotz,48.7755912,9.1827879
Cafe Galao,48.7651756,9.1684051
"Steinstraße 13, 70173 Stuttgart, Deutschland",48.7736111,9.1766402
Café Arg,48.7799348,9.1935686
Werkstatthaus,48.7799348,9.1935686
Mittwochsbühne,48.5241,9.0177
Stadthalle Reutlingen,48.4911908,9.2069775
VHS Tübingen,48.5110945,9.062192
Ratskeller Tübingen,48.5203862,9.0525618
Goldene Zeiten Tübingen,48.5163935,9.0553781
Deutsch-Französisches Kulturinstitut Tübingen,48.5222843,9.061179
